probe: using server at http://127.0.0.1:8794 (spawned)
PASS  inventory loads (67 apertures)
PASS  aperture ids unique
PASS  every aperture has a POI
PASS  traversable doors to walk (18)
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=1
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=2
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=2
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=2
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=2
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=3
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=3
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=4
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=4
  [trace] d=25m dLast=25m yaw=-121.74 err=0.01 gain=60.0 shuffles=5
  [trace] d=25m dLast=25m yaw=-121.72 err=-0.01 gain=60.0 shuffles=6
  [trace] d=148m dLast=148m yaw=-121.01 err=0.06 gain=60.0 shuffles=0
  [trace] d=148m dLast=148m yaw=-121.00 err=0.01 gain=60.0 shuffles=1
  [trace] d=148m dLast=148m yaw=-121.00 err=0.01 gain=60.0 shuffles=1
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=2
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=2
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=3
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=3
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=4
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=4
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=4
  [trace] d=148m dLast=149m yaw=-120.98 err=-0.01 gain=60.0 shuffles=5
  [trace] d=151m dLast=148m yaw=-120.98 err=-0.02 gain=60.0 shuffles=7
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=7
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=7
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=7
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=7
  [trace] d=148m dLast=149m yaw=-120.98 err=-0.02 gain=60.0 shuffles=9
  [trace] d=151m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=10
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=10
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=10
  [trace] d=149m dLast=150m yaw=-120.98 err=-0.02 gain=60.0 shuffles=11
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=11
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=11
  [trace] d=148m dLast=148m yaw=-120.98 err=0.01 gain=60.0 shuffles=12
  [trace] d=148m dLast=148m yaw=-120.98 err=-0.01 gain=60.0 shuffles=13
  [trace] d=74m dLast=74m yaw=-120.88 err=0.03 gain=60.0 shuffles=0
  [trace] d=74m dLast=74m yaw=-120.88 err=0.01 gain=60.0 shuffles=0
  [trace] d=74m dLast=74m yaw=-120.88 err=0.00 gain=60.0 shuffles=0
  [trace] d=74m dLast=74m yaw=-120.95 err=-0.02 gain=60.0 shuffles=3
  [trace] d=74m dLast=74m yaw=-120.95 err=-0.01 gain=60.0 shuffles=3
  [trace] d=74m dLast=74m yaw=-120.95 err=-0.01 gain=60.0 shuffles=3
  [trace] d=74m dLast=74m yaw=-120.92 err=0.01 gain=60.0 shuffles=4
  [trace] d=74m dLast=74m yaw=-120.96 err=-0.01 gain=60.0 shuffles=5
staged retry ranchGate.east.gate.0
FAIL  walk through ranchGate.east.gate.0 — still wedged after 15 shuffles near ranchGate.east.gate.0 exterior
node:internal/modules/run_main:107
    triggerUncaughtException(
    ^

page.evaluate: Target page, context or browser has been closed
    at player (/Users/brian/Projects/high-country/scripts/probe-doors.mjs:58:27)
    at /Users/brian/Projects/high-country/scripts/probe-doors.mjs:195:20

Node.js v25.2.1
